# Mamma's Place - Product Image Generation List
# Format: product_id|prompt description
# The script uses the prompt description to generate the image, saves as public/images/{product_id}.png
# Comment lines (starting with #) and blank lines are ignored

pony-001|Rainbow Sparkle Pony toy — cute pony with shimmering rainbow mane, glittery hooves, flowing tail, magical sparkle accessories
pony-002|Princess Starlight Pony toy — royal pony with golden crown, silky purple mane, sparkle saddle
pony-003|Cotton Candy Pony plush toy — soft pink and blue swirl mane, sweet candy colours, cuddly plush
unicorn-001|Enchanted Twilight Unicorn toy — glow-in-the-dark unicorn with LED colour-changing rainbow horn
unicorn-002|Golden Dream Unicorn toy — luxury unicorn with shiny golden hooves and flowing rainbow tail
unicorn-003|Mini Unicorn Friends Set — 6 tiny collectible unicorns in a display case, each a different colour
princess-001|Princess Aurora Dress-Up Set — pink sparkle princess costume with gown, tiara and magic wand
princess-002|Royal Princess Castle Playset — 3-storey pink castle toy with princess figures and carriage
princess-003|Princess Jewelry Craft Kit — colourful bead jewelry making kit with princess charms
princess-004|Princess Story Book Collection — stack of 5 illustrated princess story books
bow-001|Adventure Foam Bow and Arrow Set — safe foam-tip bow and arrow toy for kids with colourful targets
bow-002|Ranger Pro Archery Set — complete kids archery kit with quiver and 6 arrows
bow-003|Glow-in-the-Dark Bow and Arrow — bow and arrow toy with glowing LED arrows
rock-001|Gemstone Explorer Kit — 20 real colourful gemstones with display case and ID guide
rock-002|Crystal Growing Lab kit — science kit to grow 4 colourful crystal types in jars
rock-003|Dino Fossil and Rock Dig Kit — 3 dig blocks with fossils inside for kids to excavate
game-001|Kingdom Quest Board Game — fantasy strategy board game box with dice and pieces
game-002|Magical Unicorn and Pony Kingdom 1000-piece jigsaw puzzle
game-003|Card Clash Battle Game — deck of colourful battle cards in a tin
game-004|Mamma's Place Family Trivia Game — custom trivia board game with pony and princess theme
audio-001|The Magical Pony Kingdom audiobook — illustrated audiobook cover with pony adventure art
audio-002|Princess and the Unicorn Star audiobook cover — princess and unicorn under stars
audio-003|Rock Hunters Gem Quest audiobook cover — kids adventure with gemstones and geology
audio-004|Bedtime Stories Unicorns and Dreams audiobook — soothing dreamy unicorn bedtime book cover
audio-005|The Archery Champion audiobook cover — inspiring archery sports story for kids
classic-car-001|1963 Volkswagen Beetle — classic coral red VW Beetle vintage car
classic-car-002|1967 Ford Mustang Fastback — Highland Green classic muscle car
classic-car-003|1972 Ford Transit Mark I Van — classic vintage white van
classic-car-004|2008 Lamborghini Gallardo Spyder — bright yellow luxury sports car convertible
classic-car-005|1996 Dodge Viper GTS — blue with white racing stripes sports car
classic-car-006|1985 Jeep CJ-7 Laredo — lifted forest green classic Jeep 4WD
service-001|Professional lawn mowing service — lawn mower on a green garden
service-002|Plumbing repair service — plumber with pipes and wrench tools
